datetime,fut_close,idx_close,days_left,ann_basis
2018-01-01 16:00:00,6292.0,6263.15,18.0,-9.341
2018-01-02 16:00:00,6353.6,6331.72,17.0,-7.419
2018-01-03 16:00:00,6375.0,6380.27,16.0,1.884
2018-01-04 16:00:00,6408.0,6414.77,15.0,2.568
2018-01-07 16:00:00,6400.8,6413.87,14.0,5.313
2018-01-08 16:00:00,6435.0,6445.75,11.0,5.534
2018-01-09 16:00:00,6406.6,6405.94,10.0,-0.376
2018-01-10 16:00:00,6423.2,6425.94,9.0,1.729
2018-01-11 16:00:00,6401.2,6399.37,8.0,-1.305
2018-01-14 16:00:00,6273.0,6253.38,7.0,-16.36
2018-01-15 16:00:00,6285.6,6301.13,4.0,22.49
2018-01-16 16:00:00,6250.0,6267.46,3.0,33.894
2018-01-17 16:00:00,6285.6,6286.8,2.0,3.483
2018-01-18 16:00:00,6281.0,6272.38,1.0,-50.161
2018-01-21 16:00:00,6348.6,6347.64,34.0,-0.162
2018-01-22 16:00:00,6345.8,6355.0,31.0,1.705
2018-01-23 16:00:00,6409.6,6394.3,30.0,-2.911
2018-01-24 16:00:00,6387.0,6382.72,29.0,-0.844
2018-01-25 16:00:00,6397.0,6383.63,28.0,-2.73
2018-01-28 16:00:00,6312.2,6309.88,27.0,-0.497
2018-01-29 16:00:00,6302.8,6313.44,24.0,2.563
2018-01-30 16:00:00,6186.6,6189.34,23.0,0.703
2018-01-31 16:00:00,5970.0,5984.74,22.0,4.086
2018-02-01 16:00:00,5986.2,6004.85,21.0,5.398
2018-02-04 16:00:00,5979.8,5998.22,20.0,5.604
2018-02-05 16:00:00,5686.8,5704.26,17.0,6.572
2018-02-06 16:00:00,5663.0,5711.33,16.0,19.304
2018-02-07 16:00:00,5747.0,5766.48,15.0,8.22
2018-02-08 16:00:00,5504.0,5554.9,14.0,23.889
2018-02-11 16:00:00,5661.0,5699.1,13.0,18.77
2018-02-12 16:00:00,5713.8,5736.95,10.0,14.729
2018-02-13 16:00:00,5730.0,5754.83,9.0,17.498
2018-02-21 16:00:00,5825.0,5875.73,23.0,13.701
2018-02-22 16:00:00,5833.4,5897.68,22.0,18.083
2018-02-25 16:00:00,6004.6,6029.68,21.0,7.229
2018-02-26 16:00:00,5979.6,6010.56,18.0,10.445
2018-02-27 16:00:00,5983.4,6023.68,17.0,14.357
