datetime,fut_close,idx_close,days_left,ann_basis
2018-01-01 16:00:00,6345.0,6332.23,54,-1.363
2018-01-02 16:00:00,6388.2,6388.25,54,0.005
2018-01-03 16:00:00,6406.8,6417.54,54,1.131
2018-01-04 16:00:00,6400.8,6417.25,54,1.733
2018-01-07 16:00:00,6433.0,6446.18,54,1.382
2018-01-08 16:00:00,6435.0,6445.75,54,1.127
2018-01-09 16:00:00,6406.6,6405.94,54,-0.07
2018-01-10 16:00:00,6423.2,6425.94,54,0.288
2018-01-11 16:00:00,6401.2,6399.37,54,-0.193
2018-01-14 16:00:00,6273.0,6253.38,54,-2.121
2018-01-15 16:00:00,6285.6,6301.13,54,1.666
2018-01-16 16:00:00,6250.0,6267.46,54,1.883
2018-01-17 16:00:00,6285.6,6286.8,54,0.129
2018-01-18 16:00:00,6281.0,6272.38,54,-0.929
2018-01-21 16:00:00,6348.6,6347.64,54,-0.102
2018-01-22 16:00:00,6345.8,6355.0,54,0.979
2018-01-23 16:00:00,6409.6,6394.3,54,-1.617
2018-01-24 16:00:00,6387.0,6382.72,54,-0.453
2018-01-25 16:00:00,6397.0,6383.63,54,-1.416
2018-01-28 16:00:00,6312.2,6309.88,54,-0.249
2018-01-29 16:00:00,6302.8,6313.44,54,1.139
2018-01-30 16:00:00,6186.6,6189.34,54,0.299
2018-01-31 16:00:00,5970.0,5984.74,54,1.665
2018-02-01 16:00:00,5986.2,6004.85,54,2.099
2018-02-04 16:00:00,5979.8,5998.22,54,2.076
2018-02-05 16:00:00,5686.8,5704.26,54,2.069
2018-02-06 16:00:00,5663.0,5711.33,54,5.72
2018-02-07 16:00:00,5747.0,5766.48,54,2.283
2018-02-08 16:00:00,5504.0,5554.9,54,6.194
2018-02-11 16:00:00,5661.0,5699.1,54,4.519
2018-02-12 16:00:00,5713.8,5736.95,54,2.728
2018-02-13 16:00:00,5730.0,5754.83,54,2.916
2018-02-21 16:00:00,5825.0,5875.73,54,5.836
2018-02-22 16:00:00,5833.4,5897.68,54,7.367
2018-02-25 16:00:00,6004.6,6029.68,54,2.811
2018-02-26 16:00:00,5979.6,6010.56,54,3.482
2018-02-27 16:00:00,5983.4,6023.68,54,4.52
2018-02-28 16:00:00,6057.8,6090.22,54,3.598
2018-03-01 16:00:00,6035.2,6056.34,54,2.359
2018-03-04 16:00:00,6019.2,6064.1,54,5.005
2018-03-05 16:00:00,6111.8,6145.58,54,3.715
2018-03-06 16:00:00,6031.0,6086.49,54,6.162
2018-03-07 16:00:00,6095.4,6131.51,54,3.981
2018-03-08 16:00:00,6198.8,6206.98,54,0.891
2018-03-11 16:00:00,6275.4,6295.78,54,2.188
2018-03-12 16:00:00,6241.0,6254.15,54,1.421
2018-03-13 16:00:00,6177.0,6189.32,54,1.345
2018-03-14 16:00:00,6172.0,6180.11,54,0.887
2018-03-15 16:00:00,6174.2,6146.31,54,-3.067
2018-03-18 16:00:00,6080.4,6153.83,54,8.065
2018-03-19 16:00:00,6103.2,6173.7,54,7.719
2018-03-20 16:00:00,6040.0,6129.2,54,9.837
2018-03-21 16:00:00,6037.4,6101.23,54,7.071
2018-03-22 16:00:00,5665.6,5787.15,54,14.197
2018-03-25 16:00:00,5846.0,5902.96,54,6.522
2018-03-26 16:00:00,6005.6,6034.78,54,3.268
2018-03-27 16:00:00,5915.2,5973.34,54,6.579
2018-03-28 16:00:00,6012.0,6034.86,54,2.56
2018-03-29 16:00:00,6101.0,6114.74,54,1.519
2018-04-01 16:00:00,6075.0,6121.96,54,5.185
2018-04-02 16:00:00,6023.4,6059.71,54,4.05
2018-04-03 16:00:00,5976.0,6017.69,54,4.683
2018-04-08 16:00:00,5981.8,6025.65,54,4.919
2018-04-09 16:00:00,6048.0,6063.74,54,1.755
2018-04-10 16:00:00,6055.0,6086.61,54,3.51
2018-04-11 16:00:00,6022.8,6051.33,54,3.187
2018-04-12 16:00:00,6010.0,6027.19,54,1.928
2018-04-15 16:00:00,5989.0,6012.41,54,2.632
2018-04-16 16:00:00,5888.0,5890.86,54,0.328
2018-04-17 16:00:00,5951.0,5970.66,54,2.226
2018-04-18 16:00:00,6000.0,6004.73,54,0.532
2018-04-19 16:00:00,5908.0,5880.84,54,-3.122
2018-04-22 16:00:00,5779.2,5823.92,54,5.19
2018-04-23 16:00:00,5913.2,5957.19,54,4.991
2018-04-24 16:00:00,5913.0,5959.42,54,5.265
2018-04-25 16:00:00,5806.4,5847.98,54,4.806
2018-04-26 16:00:00,5852.2,5860.98,54,1.013
2018-05-01 16:00:00,5827.8,5855.32,54,3.177
2018-05-02 16:00:00,5892.4,5910.61,54,2.082
2018-05-03 16:00:00,5881.0,5909.29,54,3.236
2018-05-06 16:00:00,6001.0,6019.14,54,2.037
2018-05-07 16:00:00,6028.6,6041.81,54,1.478
2018-05-08 16:00:00,6011.0,6029.23,54,2.044
2018-05-09 16:00:00,6036.4,6040.57,54,0.467
2018-05-10 16:00:00,5993.0,5991.34,54,-0.187
2018-05-13 16:00:00,5964.0,5967.55,54,0.402
2018-05-14 16:00:00,6020.0,6020.57,54,0.064
2018-05-15 16:00:00,6012.6,6004.07,54,-0.96
2018-05-16 16:00:00,5975.0,5973.78,54,-0.138
2018-05-17 16:00:00,5975.2,5995.15,54,2.249
2018-05-20 16:00:00,6027.4,6072.2,54,4.987
2018-05-21 16:00:00,6066.0,6092.91,54,2.985
2018-05-22 16:00:00,5992.4,6013.85,54,2.411
2018-05-23 16:00:00,5966.8,5992.62,54,2.912
2018-05-24 16:00:00,5874.8,5917.8,54,4.911
2018-05-27 16:00:00,5878.4,5891.26,54,1.475
2018-05-28 16:00:00,5794.4,5835.45,54,4.755
2018-05-29 16:00:00,5653.2,5682.59,54,3.496
2018-05-30 16:00:00,5738.0,5754.47,54,1.935
2018-05-31 16:00:00,5664.0,5685.12,54,2.511
2018-06-03 16:00:00,5671.0,5683.15,54,1.445
2018-06-04 16:00:00,5770.2,5779.08,54,1.039
2018-06-05 16:00:00,5765.6,5774.26,54,1.014
2018-06-06 16:00:00,5732.0,5738.02,54,0.709
2018-06-07 16:00:00,5658.6,5669.3,54,1.276
2018-06-10 16:00:00,5639.2,5632.36,54,-0.821
2018-06-11 16:00:00,5686.8,5693.35,54,0.778
2018-06-12 16:00:00,5603.0,5607.02,54,0.485
2018-06-13 16:00:00,5594.0,5586.93,54,-0.855
2018-06-14 16:00:00,5482.6,5483.94,54,0.165
2018-06-18 16:00:00,5057.8,5141.71,54,11.031
2018-06-19 16:00:00,5142.2,5198.39,54,7.306
2018-06-20 16:00:00,5010.0,5089.25,54,10.526
2018-06-21 16:00:00,5110.8,5160.12,54,6.46
2018-06-24 16:00:00,5028.8,5125.03,54,12.692
2018-06-25 16:00:00,5095.0,5160.28,54,8.551
2018-06-26 16:00:00,5001.0,5109.5,54,14.353
2018-06-27 16:00:00,5007.2,5055.11,54,6.406
2018-06-28 16:00:00,5185.4,5217.76,54,4.192
2018-07-01 16:00:00,5100.0,5138.78,54,5.101
2018-07-02 16:00:00,5144.0,5197.13,54,6.91
2018-07-03 16:00:00,5085.4,5121.34,54,4.743
2018-07-04 16:00:00,4920.2,4982.76,54,8.486
2018-07-05 16:00:00,4948.0,4996.63,54,6.578
2018-07-08 16:00:00,5088.0,5107.55,54,2.587
2018-07-09 16:00:00,5115.0,5136.53,54,2.833
2018-07-10 16:00:00,5008.8,5036.16,54,3.672
2018-07-11 16:00:00,5178.4,5172.5,54,-0.771
2018-07-12 16:00:00,5191.0,5204.19,54,1.713
2018-07-15 16:00:00,5199.2,5195.2,54,-0.52
2018-07-16 16:00:00,5184.4,5196.2,54,1.535
2018-07-17 16:00:00,5159.2,5156.64,54,-0.336
2018-07-18 16:00:00,5119.4,5111.33,54,-1.067
2018-07-19 16:00:00,5145.2,5175.25,54,3.925
2018-07-22 16:00:00,5191.0,5214.0,54,2.982
2018-07-23 16:00:00,5299.0,5304.64,54,0.719
2018-07-24 16:00:00,5297.8,5308.66,54,1.383
2018-07-25 16:00:00,5261.6,5273.48,54,1.523
2018-07-26 16:00:00,5230.0,5249.29,54,2.484
2018-07-29 16:00:00,5140.4,5185.15,54,5.834
2018-07-30 16:00:00,5157.4,5188.72,54,4.08
2018-07-31 16:00:00,5074.8,5105.37,54,4.047
2018-08-01 16:00:00,4946.4,4996.01,54,6.712
2018-08-02 16:00:00,4878.2,4929.75,54,7.068
2018-08-05 16:00:00,4806.0,4825.25,54,2.697
2018-08-06 16:00:00,4929.0,4956.87,54,3.8
2018-08-07 16:00:00,4855.4,4880.57,54,3.486
2018-08-08 16:00:00,4977.0,5004.77,54,3.751
2018-08-09 16:00:00,5012.8,5030.51,54,2.38
2018-08-12 16:00:00,5046.4,5055.28,54,1.187
2018-08-13 16:00:00,5036.8,5037.88,54,0.145
2018-08-14 16:00:00,4926.0,4932.81,54,0.933
2018-08-15 16:00:00,4871.0,4888.37,54,2.402
2018-08-16 16:00:00,4738.0,4803.03,54,9.152
2018-08-19 16:00:00,4783.6,4832.65,54,6.86
2018-08-20 16:00:00,4825.0,4891.98,54,9.255
2018-08-21 16:00:00,4806.0,4837.02,54,4.335
