datetime,fut_close,idx_close,days_left,ann_basis
2026-05-20 16:00:00,8326.8,8419.84,18,22.407
2026-05-21 16:00:00,8469.2,8576.94,18,25.472
2026-05-24 16:00:00,8582.8,8703.89,18,28.211
2026-05-25 16:00:00,8565.0,8658.62,18,21.925
2026-05-26 16:00:00,8415.8,8530.98,18,27.378
2026-05-27 16:00:00,8458.0,8563.22,18,24.916
2026-05-28 16:00:00,8274.6,8359.56,18,20.609
2026-05-31 16:00:00,8225.2,8274.21,18,12.011
2026-06-01 16:00:00,8260.4,8321.43,18,14.872
2026-06-02 16:00:00,8314.2,8362.16,18,11.63
2026-06-03 16:00:00,8300.2,8356.74,18,13.72
2026-06-04 16:00:00,8255.0,8317.64,18,15.271
2026-06-07 16:00:00,8050.0,7978.66,17,-19.198
2026-06-08 16:00:00,7986.0,8059.34,14,23.725
2026-06-09 16:00:00,8051.0,8094.14,13,14.964
