datetime,fut_close,idx_close,days_left,ann_basis
2018-01-01 16:00:00,6292.0,6263.15,18,-9.341
2018-01-02 16:00:00,6353.6,6331.72,17,-7.419
2018-01-03 16:00:00,6375.0,6380.27,16,1.884
2018-01-04 16:00:00,6408.0,6414.77,15,2.568
2018-01-07 16:00:00,6400.8,6413.87,14,5.313
2018-01-08 16:00:00,6433.0,6441.68,11,4.471
2018-01-09 16:00:00,6432.8,6443.46,10,6.039
2018-01-10 16:00:00,6385.0,6391.9,9,4.378
2018-01-11 16:00:00,6419.8,6418.83,8,-0.689
2018-01-14 16:00:00,6395.0,6391.37,7,-2.961
2018-01-15 16:00:00,6265.6,6245.15,4,-29.88
2018-01-16 16:00:00,6280.0,6288.02,3,15.518
2018-01-17 16:00:00,6255.0,6253.06,2,-5.662
2018-01-18 16:00:00,6284.0,6284.6,1,3.485
2018-01-21 16:00:00,6236.0,6264.76,34,4.928
2018-01-22 16:00:00,6347.0,6342.69,31,-0.8
2018-01-23 16:00:00,6352.6,6353.3,30,0.134
2018-01-24 16:00:00,6397.0,6386.8,29,-2.01
2018-01-25 16:00:00,6384.4,6374.1,28,-2.106
2018-01-28 16:00:00,6390.0,6385.04,27,-1.05
2018-01-29 16:00:00,6310.0,6301.35,24,-2.088
2018-01-30 16:00:00,6280.0,6277.74,23,-0.571
2018-01-31 16:00:00,6192.0,6181.0,22,-2.953
2018-02-01 16:00:00,5958.0,5937.62,21,-5.966
2018-02-04 16:00:00,5928.0,5927.74,20,-0.08
2018-02-05 16:00:00,5913.0,5886.35,17,-9.721
2018-02-06 16:00:00,5807.8,5805.97,16,-0.719
2018-02-07 16:00:00,5687.0,5695.67,15,3.704
2018-02-08 16:00:00,5645.0,5631.96,14,-6.036
2018-02-11 16:00:00,5590.0,5581.71,13,-4.17
2018-02-12 16:00:00,5712.6,5731.15,10,11.814
2018-02-13 16:00:00,5719.2,5741.88,9,16.019
2018-02-21 16:00:00,5778.6,5800.95,23,6.114
2018-02-22 16:00:00,5830.0,5877.72,22,13.47
2018-02-25 16:00:00,5877.0,5926.42,21,14.494
2018-02-26 16:00:00,5998.0,6025.88,18,9.382
2018-02-27 16:00:00,5952.6,5967.9,17,5.504
2018-02-28 16:00:00,5958.0,5987.36,16,11.186
2018-03-01 16:00:00,6020.0,6053.48,15,13.458
2018-03-04 16:00:00,6054.8,6066.68,14,5.105
2018-03-05 16:00:00,6038.6,6077.37,11,21.168
2018-03-06 16:00:00,6095.0,6133.95,10,23.177
2018-03-07 16:00:00,6046.2,6073.67,9,18.342
