datetime,fut_close,idx_close,days_left,ann_basis
2026-05-26 16:00:00,8415.8,8530.98,13,37.908
2026-05-27 16:00:00,8458.0,8563.22,13,34.499
2026-05-28 16:00:00,8274.6,8359.56,13,28.535
2026-05-31 16:00:00,8225.2,8274.21,13,16.631
2026-06-01 16:00:00,8260.4,8321.43,13,20.592
2026-06-02 16:00:00,8314.2,8362.16,13,16.103
2026-06-03 16:00:00,8300.2,8356.74,13,18.996
2026-06-04 16:00:00,8190.6,8251.14,13,20.601
2026-06-07 16:00:00,7935.0,7963.45,13,10.031
2026-06-08 16:00:00,8112.4,8176.18,13,21.902
2026-06-09 16:00:00,8051.0,8094.14,13,14.964
